ID,sex,population,site,host_plant,short-wing?,latitude,longitude,field_date_collected
1,M,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
2,M,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
3,M,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
4,M,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
5,F,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
6,M,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
7,F,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
8,F,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
9,M,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
10,M,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
11,M,Key Largo,KLMRL,C. corindum,N,25.1000151,-80.437522,2.5.2020
12,F,Key Largo,KLMRL,C. corindum,N,25.1000151,-80.437522,2.5.2020
13,F,Key Largo,KLMRL,C. corindum,N,25.1000151,-80.437522,2.5.2020
14,M,Key Largo,KLMRL,C. corindum,N,25.1000151,-80.437522,2.5.2020
15,M,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
16,F,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
17,M,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
18,M,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
19,F,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
20,F,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
21,M,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
22,M,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
23,M,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
24,M,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
25,F,North Key Largo,DD front,C. corindum,N,25.2734885,-80.3040957,2.3.2020
26,F,North Key Largo,Charlemagne,C. corindum,N,25.19515,-80.345916,2.5.2020
27,F,North Key Largo,Charlemagne,C. corindum,N,25.19515,-80.345916,2.5.2020
28,M,North Key Largo,Charlemagne,C. corindum,N,25.19515,-80.345916,2.5.2020
29,F,North Key Largo,Charlemagne,C. corindum,N,25.19515,-80.345916,2.5.2020
30,F,North Key Largo,Charlemagne,C. corindum,N,25.19515,-80.345916,2.5.2020
31,F,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
32,F,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
33,M,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
34,M,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
35,M,North Key Largo,Carysfort,C. corindum,N,25.2565615,-80.3108042,2.4.2020
36,M,North Key Largo,Dagny Trellis,C. corindum,N,25.1755702,-80.36780089,2.5.2020
37,F,North Key Largo,Dagny Trellis,C. corindum,N,25.1755702,-80.36780089,2.5.2020
38,M,North Key Largo,Dagny Trellis,C. corindum,N,25.1755702,-80.36780089,2.5.2020
39,F,North Key Largo,Dagny Trellis,C. corindum,N,25.1755702,-80.36780089,2.5.2020
40,M,North Key Largo,Dagny Trellis,C. corindum,N,25.1755702,-80.36780089,2.5.2020
41,F,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
42,F,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
43,F,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
44,F,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
45,M,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
46,M,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
47,F,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
48,F,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
49,M,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
50,M,Homestead,SW 296th St,K.elegans,N,25.491362,-80.485821,2.7.2020
51,F,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
52,M,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
53,F,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
54,F,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
55,M,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
56,M,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
57,M,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
58,F,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
59,F,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
60,M,Lake Placid,110N Main,K.elegans,N,27.298631,-81.36615,2.7.2020
61,M,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
62,M,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
63,F,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
64,F,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
65,M,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
66,M,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
67,M,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
68,M,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
69,F,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
70,M,Lake Wales,Polk Ave,K.elegans,N,27.8967403,-81.5804654,2.7.2020
71,M,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
