ID,died?,chamber,set_number,test_date,time_start,time_end,next_day?,population,flew,flight_type,mass,eggs,NOTES,trial_type
435,,A-2,1,02.17.2020,8:15:00,11:35:00,,North Key Largo,Y,C,0.034,N,,T1
143,,A-3,1,02.17.2020,8:15:00,08:45:00,,North Key Largo,N,,0.032,N,,T1
338,,A-4,1,02.17.2020,8:15:00,09:15:00,,North Key Largo,Y,C,0.038,N,,T1
267,,B-2,1,02.17.2020,8:15:00,19:56:05,Y,Lake Placid,Y,C,0.040,N,,T1
202,,B-3,1,02.17.2020,8:15:00,11:26:00,,Plantation Key,Y,C,0.037,N,,T1
374,,B-4,1,02.17.2020,8:15:00,08:45:00,,Lake Placid,N,,0.078,Y,,T1
275,,A-3,1,02.17.2020,8:45:00,17:10:00,,Lake Wales,Y,C,0.030,N,,T1
63,,B-1,1,02.17.2020,8:45:00,09:15:00,,Lake Wales,Y,C,0.069,N,,T1
252,,B-4,1,02.17.2020,8:45:00,09:15:00,,Homestead,Y,B,0.038,N,,T1
242,,A-4,1,02.17.2020,9:15:00,09:55:00,,North Key Largo,Y,C,0.033,N,,T1
239,,B-4,1,02.17.2020,9:15:00,09:50:00,,North Key Largo,N,,0.033,N,,T1
62,,B-1,1,02.17.2020,9:18:00,21:26:24,Y,Lake Wales,Y,C,0.033,N,SENSOR: sensor readings very small drops ,T1
21,,B-4,1,02.17.2020,9:55:00,10:27:00,,North Key Largo,Y,B,0.034,N,,T1
213,,A-4,1,02.17.2020,9:55:00,10:27:00,,Key Largo,N,,0.044,N,,T1
74,,A-4,1,02.17.2020,10:28:00,11:01:00,,Leesburg,Y,B,0.033,N,,T1
381,,B-4,1,02.17.2020,10:29:00,11:01:00,,Gainesville,N,,0.033,N,,T1
138,,A-4,1,02.17.2020,11:02:00,11:35:00,,North Key Largo,N,,0.048,N,,T1
354,,B-4,1,02.17.2020,11:04:00,12:12:00,,North Key Largo,Y,C,0.027,N,,T1
427,,A-2,1,02.17.2020,11:37:00,13:02:00,,North Key Largo,Y,C,0.024,N,,T1
153,,A-4,1,02.17.2020,11:39:00,12:11:00,,Homestead,N,,0.028,N,,T1
203,,B-3,1,02.17.2020,11:40:00,12:27:00,,Plantation Key,Y,BC,0.044,N,DATA COL: blew on it by accident at 12:27; taken down at 12:41,T1
179,,A-4,1,02.17.2020,12:13:00,12:45:00,,Lake Wales,N,,0.053,N,,T1
23,,B-4,1,02.17.2020,12:14:00,12:45:00,,North Key Largo,N,,0.034,N,,T1
92,,A-4,1,02.17.2020,12:48:00,13:22:00,,North Key Largo,Y,B,0.084,N,,T1
223,,B-3,1,02.17.2020,12:49:00,17:15:00,,North Key Largo,Y,C,0.031,N,,T1
189,,B-4,1,02.17.2020,12:50:00,13:22:00,,Leesburg,Y,B,0.041,N,,T1
426,,A-2,1,02.17.2020,13:23:00,13:59:00,,North Key Largo,Y,B,0.043,N,,T1
208,,A-4,1,02.17.2020,13:25:00,13:59:00,,Plantation Key,Y,B,0.040,N,,T1
268,,B-4,1,02.17.2020,13:27:00,18:43:18,Y,Lake Placid,Y,C,0.033,N,,T1
423,,A-2,1,02.17.2020,14:00:00,14:31:00,,North Key Largo,Y,B,0.026,N,,T1
133,,A-4,1,02.17.2020,14:00:00,14:31:00,,North Key Largo,Y,B,0.080,Y,,T1
114,,A-2,1,02.17.2020,14:31:00,15:06:00,,Key Largo,Y,B,0.043,N,,T1
199,,A-4,1,02.17.2020,14:32:00,15:06:00,,Gainesville,N,,0.045,Y,,T1
