ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,recording_duration,max_speed
114,set001-2-17-2020-A2_114.txt,T1,A-2,A,2,01,0.21,0,1.88,0,0,0,2012.03,0.18
318,set001-2-17-2020-A2_318.txt,T1,A-2,A,2,01,0.31,6101.21,1818.3,0,6101.21,0.97,6300.43,0.48
37,set001-2-17-2020-A2_37.txt,T1,A-2,A,2,01,0,0,1.26,0,0,0,1977.11,0
423,set001-2-17-2020-A2_423.txt,T1,A-2,A,2,01,0.27,574.47,11.31,0,541.54,0.29,1970.35,0.37
426,set001-2-17-2020-A2_426.txt,T1,A-2,A,2,01,0.42,8.81,7.54,0,7.52,0.0,2224.07,0.51
427,set001-2-17-2020-A2_427.txt,T1,A-2,A,2,01,0.27,4357.76,1009.05,0,4319.5,0.68,6425.55,0.46
435,set001-2-17-2020-A2_435.txt,T1,A-2,A,2,01,0.4,12023.89,4450.88,112.4,11883.99,0.95,12662.99,0.64
143,set001-2-17-2020-A3_143.txt,T1,A-3,A,3,01,0.36,38.47,14.45,0,38.47,0.02,2335.59,0.4
275,set001-2-17-2020-A3_275.txt,T1,A-3,A,3,01,0.29,29884.91,8521.0,0,29884.91,0.96,31275.23,0.41
133,set001-2-17-2020-A4_133.txt,T1,A-4,A,4,01,0.33,157.68,27.02,0,50.79,0.08,2046.19,0.47
138,set001-2-17-2020-A4_138.txt,T1,A-4,A,4,01,0,0,0,0,0,0,2188.71,0
153,set001-2-17-2020-A4_153.txt,T1,A-4,A,4,01,0,0,0.63,0,0,0,2016.15,0
179,set001-2-17-2020-A4_179.txt,T1,A-4,A,4,01,0.35,6.89,2.51,0,6.89,0.0,2080.07,0.26
199,set001-2-17-2020-A4_199.txt,T1,A-4,A,4,01,0.29,7.51,1.88,0,7.51,0.0,1872.39,0.28
208,set001-2-17-2020-A4_208.txt,T1,A-4,A,4,01,0.22,1349.37,5.03,0,1346.99,0.61,2208.63,0.26
213,set001-2-17-2020-A4_213.txt,T1,A-4,A,4,01,0.31,0,1.88,0,0,0,1970.43,0
242,set001-2-17-2020-A4_242.txt,T1,A-4,A,4,01,0.32,2232.79,686.1,0,2232.79,0.94,2379.19,0.4
338,set001-2-17-2020-A4_338.txt,T1,A-4,A,4,01,0.29,2721.94,767.15,0,2721.94,0.65,4196.39,0.39
356,set001-2-17-2020-A4_356.txt,T1,A-4,A,4,01,0.26,590.52,11.31,0,569.88,0.3,1983.47,0.46
36,set001-2-17-2020-A4_36.txt,T1,A-4,A,4,01,0.27,63.72,18.22,0,34.56,0.04,1817.67,0.32
74,set001-2-17-2020-A4_74.txt,T1,A-4,A,4,01,0.49,32.24,16.34,0,26.5,0.02,2093.15,0.58
92,set001-2-17-2020-A4_92.txt,T1,A-4,A,4,01,0.37,110.16,37.7,74.34,74.34,0.05,2258.43,0.51
62,set001-2-17-2020-B1_62.txt,T1,B-1,B,1,01,0.33,42079.92,13181.11,149.79,32154.61,0.97,43190.19,0.62
63,set001-2-17-2020-B1_63.txt,T1,B-1,B,1,01,0.5,1261.41,632.7,0,1261.41,0.3,4210.83,0.57
267,set001-2-17-2020-B2_267.txt,T1,B-2,B,2,01,0.24,41970.11,9822.21,0,41970.11,0.89,47401.03,0.45
202,set001-2-17-2020-B3_202.txt,T1,B-3,B,3,01,0.22,11833.33,2306.49,0,11081.24,0.93,12729.19,0.36
203,set001-2-17-2020-B3_203.txt,T1,B-3,B,3,01,0.23,2496.43,547.25,0,2496.43,0.61,4123.87,0.48
223,set001-2-17-2020-B3_223.txt,T1,B-3,B,3,01,0.21,4801.88,2967.46,73.28,4226.16,0.31,15463.95,0.91
189,set001-2-17-2020-B4_189.txt,T1,B-4,B,4,01,0.52,1103.4,307.87,63.5,568.16,0.5,2212.59,0.68
21,set001-2-17-2020-B4_21.txt,T1,B-4,B,4,01,0.27,649.61,8.8,0,616.38,0.3,2151.83,0.47
23,set001-2-17-2020-B4_23.txt,T1,B-4,B,4,01,0,0,1.26,0,0,0,2160.59,0
239,set001-2-17-2020-B4_239.txt,T1,B-4,B,4,01,0,0,0.63,0,0,0,2218.47,0
252,set001-2-17-2020-B4_252.txt,T1,B-4,B,4,01,0.29,40.39,12.57,0,40.39,0.02,1822.75,0.35
268,set001-2-17-2020-B4_268.txt,T1,B-4,B,4,01,0.21,18370.0,3803.1,0,18370.0,0.65,28241.71,0.47
354,set001-2-17-2020-B4_354.txt,T1,B-4,B,4,01,0.18,3984.61,701.81,0,3984.61,0.95,4206.31,0.38
374,set001-2-17-2020-B4_374.txt,T1,B-4,B,4,01,0,0,0,0,0,0,2296.55,0
381,set001-2-17-2020-B4_381.txt,T1,B-4,B,4,01,0,0,0,0,0,0,2090.15,0
144,set002-2-18-2020-A2_144.txt,T1,A-2,A,2,02,0.23,34202.22,6956.54,104.95,19722.19,0.79,43194.99,0.46
