date_collected,ID,eggs,total_eggs,pop
2020-02-17,93,1,1,North Key Largo
2020-02-17,393,1,29,Plantation Key
2020-02-17,389,3,57,Plantation Key
2020-02-17,428,3,148,North Key Largo
2020-02-17,41,6,255,Homestead
2020-02-17,407,8,72,Key Largo
2020-02-17,321,9,9,North Key Largo
2020-02-17,430,9,9,North Key Largo
2020-02-17,188,14,148,Leesburg
2020-02-17,112,15,241,Key Largo
2020-02-17,132,17,88,North Key Largo
2020-02-17,148,18,18,North Key Largo
2020-02-17,29,20,67,North Key Largo
2020-02-17,5,21,209,Plantation Key
2020-02-17,327,22,225,North Key Largo
2020-02-17,405,22,68,Plantation Key
2020-02-17,420,25,211,North Key Largo
2020-02-17,126,31,31,North Key Largo
2020-02-17,387,31,290,Plantation Key
2020-02-17,75,48,48,Leesburg
2020-02-17,337,52,52,North Key Largo
2020-02-17,97,55,249,North Key Largo
2020-02-17,13,59,296,Key Largo
2020-02-18,16,1,1,Key Largo
2020-02-18,195,1,1,Gainesville
2020-02-18,111,4,171,Key Largo
2020-02-18,390,5,133,Plantation Key
2020-02-18,135,6,225,North Key Largo
2020-02-18,234,7,7,North Key Largo
2020-02-18,8,10,92,Plantation Key
2020-02-18,227,11,318,North Key Largo
2020-02-18,330,11,323,North Key Largo
2020-02-18,221,14,138,North Key Largo
2020-02-18,244,14,100,North Key Largo
2020-02-18,340,14,14,North Key Largo
2020-02-18,141,15,41,North Key Largo
2020-02-18,222,15,330,North Key Largo
2020-02-18,346,16,75,North Key Largo
2020-02-18,328,21,138,North Key Largo
2020-02-18,292,22,22,Gainesville
2020-02-18,374,22,22,Lake Placid
2020-02-18,187,25,196,Leesburg
2020-02-18,217,25,81,Key Largo
2020-02-18,211,26,156,Key Largo
2020-02-18,336,26,26,North Key Largo
2020-02-18,360,29,256,North Key Largo
2020-02-18,133,30,208,North Key Largo
2020-02-18,229,31,347,North Key Largo
2020-02-18,101,37,130,Plantation Key
2020-02-18,199,38,38,Gainesville
2020-02-18,30,40,278,North Key Largo
2020-02-18,314,44,92,Key Largo
2020-02-18,302,45,45,Plantation Key
2020-02-18,241,53,97,North Key Largo
2020-02-18,149,55,72,North Key Largo
2020-02-18,229,69,347,North Key Largo
2020-02-19,472,1,1,North Key Largo
2020-02-19,482,1,34,North Key Largo
2020-02-19,447,2,2,
2020-02-19,451,2,28,North Key Largo
2020-02-19,497,3,3,North Key Largo
2020-02-19,529,3,3,Key Largo
2020-02-19,538,3,3,Leesburg
2020-02-19,516,5,5,Key Largo
2020-02-19,520,5,14,Key Largo
2020-02-19,479,12,12,North Key Largo
2020-02-19,462,16,49,North Key Largo
2020-02-19,528,17,23,Key Largo
2020-02-19,548,17,17,Plantation Key
2020-02-19,106,18,18,Plantation Key
2020-02-19,523,18,18,Key Largo
2020-02-19,219,20,30,Key Largo
2020-02-19,545,22,73,Plantation Key
2020-02-19,552,23,64,Plantation Key
2020-02-19,508,26,90,Key Largo
2020-02-19,549,28,28,Plantation Key
2020-02-19,465,29,89,North Key Largo
2020-02-19,526,31,80,Key Largo
2020-02-19,329,34,221,North Key Largo
2020-02-19,515,39,96,Key Largo
2020-02-19,553,39,121,North Key Largo
2020-02-19,509,41,188,Key Largo
2020-02-19,511,42,42,Key Largo
2020-02-19,455,46,110,North Key Largo
2020-02-19,494,54,111,North Key Largo
2020-02-20,401,4,30,Plantation Key
2020-02-20,326,15,147,North Key Largo
2020-02-20,227,35,318,North Key Largo
2020-02-20,115,106,226,Key Largo
2020-02-25,527,4,4,Key Largo
2020-02-25,480,6,6,North Key Largo
2020-02-25,29,7,67,North Key Largo
2020-02-25,140,7,46,North Key Largo
2020-02-25,403,8,8,Plantation Key
2020-02-25,520,9,14,Key Largo
2020-02-25,219,10,30,Key Largo
2020-02-25,136,15,117,North Key Largo
2020-02-25,149,17,72,North Key Largo
2020-02-25,451,19,28,North Key Largo
2020-02-25,37,20,53,North Key Largo
2020-02-25,326,20,147,North Key Largo
2020-02-25,482,23,34,North Key Largo
2020-02-25,141,26,41,North Key Largo
2020-02-25,147,27,56,North Key Largo
2020-02-25,345,29,63,North Key Largo
2020-02-25,390,32,133,Plantation Key
2020-02-25,318,33,91,Key Largo
2020-02-25,462,33,49,North Key Largo
2020-02-25,31,35,114,North Key Largo
2020-02-25,133,36,208,North Key Largo
2020-02-25,132,38,88,North Key Largo
2020-02-25,101,40,130,Plantation Key
2020-02-25,115,40,226,Key Largo
2020-02-25,221,40,138,North Key Largo
2020-02-25,91,42,114,North Key Largo
2020-02-25,515,43,96,Key Largo
2020-02-25,241,44,97,North Key Largo
2020-02-25,429,45,124,North Key Largo
2020-02-25,405,46,68,Plantation Key
2020-02-25,553,46,121,North Key Largo
2020-02-25,526,49,80,Key Largo
2020-02-25,217,50,81,Key Largo
2020-02-25,508,50,90,Key Largo
2020-02-25,455,51,110,North Key Largo
2020-02-25,111,52,171,Key Largo
2020-02-25,8,53,92,Plantation Key
2020-02-25,389,54,57,Plantation Key
2020-02-25,494,57,111,North Key Largo
2020-02-25,465,60,89,North Key Largo
