date_collected,ID,eggs
2020-02-17,93,1
2020-02-17,393,1
2020-02-17,389,3
2020-02-17,428,3
2020-02-17,41,6
2020-02-17,407,8
2020-02-17,321,9
2020-02-17,430,9
2020-02-17,188,14
2020-02-17,112,15
2020-02-17,132,17
2020-02-17,148,18
2020-02-17,29,20
2020-02-17,5,21
2020-02-17,327,22
2020-02-17,405,22
2020-02-17,420,25
2020-02-17,126,31
2020-02-17,387,31
2020-02-17,75,48
2020-02-17,337,52
2020-02-17,97,55
2020-02-17,13,59
2020-02-18,16,1
2020-02-18,195,1
2020-02-18,111,4
2020-02-18,390,5
2020-02-18,135,6
2020-02-18,234,7
2020-02-18,8,10
2020-02-18,227,11
2020-02-18,330,11
2020-02-18,221,14
2020-02-18,244,14
2020-02-18,340,14
2020-02-18,141,15
2020-02-18,222,15
2020-02-18,346,16
2020-02-18,328,21
2020-02-18,292,22
2020-02-18,374,22
2020-02-18,187,25
2020-02-18,217,25
2020-02-18,211,26
2020-02-18,336,26
2020-02-18,360,29
2020-02-18,133,30
2020-02-18,229,31
2020-02-18,101,37
2020-02-18,199,38
2020-02-18,30,40
2020-02-18,314,44
2020-02-18,302,45
2020-02-18,241,53
2020-02-18,149,55
2020-02-18,229,69
2020-02-19,472,1
2020-02-19,482,1
2020-02-19,447,2
2020-02-19,451,2
2020-02-19,497,3
2020-02-19,529,3
2020-02-19,538,3
2020-02-19,516,5
2020-02-19,520,5
2020-02-19,479,12
2020-02-19,462,16
2020-02-19,528,17
2020-02-19,548,17
2020-02-19,106,18
2020-02-19,523,18
2020-02-19,219,20
2020-02-19,545,22
2020-02-19,552,23
2020-02-19,508,26
2020-02-19,549,28
2020-02-19,465,29
2020-02-19,526,31
2020-02-19,329,34
2020-02-19,515,39
2020-02-19,553,39
2020-02-19,509,41
2020-02-19,511,42
2020-02-19,455,46
2020-02-19,494,54
2020-02-20,401,4
2020-02-20,326,15
2020-02-20,227,35
2020-02-20,115,106
2020-02-25,527,4
2020-02-25,480,6
2020-02-25,29,7
2020-02-25,140,7
2020-02-25,403,8
2020-02-25,520,9
2020-02-25,219,10
2020-02-25,136,15
2020-02-25,149,17
2020-02-25,451,19
2020-02-25,37,20
2020-02-25,326,20
2020-02-25,482,23
2020-02-25,141,26
