ID,population,sex,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder
1,PK,M,5.5,3.18,8.39,11.83,L,wings torn at the end,03.27.2020,04.03.2020,AB
2,PK,M,5.64,3.12,7.88,11.09,L,,03.27.2020,04.03.2020,AB
3,PK,M,5.75,3.36,8.48,11.9,L,,03.27.2020,04.03.2020,AB
4,PK,M,6.21,2.97,7.87,10.9,L,,03.27.2020,04.03.2020,AB
5,PK,F,7.47,3.32,8.33,11.89,L,,03.27.2020,04.03.2020,AB
6,PK,M,5.76,3.04,8.03,11,L,,03.27.2020,04.03.2020,AB
7,PK,F,8.19,3.64,9.3,13.02,L,,03.27.2020,04.03.2020,AB
8,PK,F,8.39,3.54,9.38,13.09,L,,03.27.2020,04.03.2020,AB
9,PK,M,6.1,3.39,9.06,12.14,L,,03.27.2020,04.03.2020,AB
10,PK,M,6.09,3.28,8.56,12.21,L,,03.27.2020,04.03.2020,AB
11,KL,M,5.88,3.14,8.39,11.68,L,,03.27.2020,04.03.2020,AB
12,KL,F,8.79,3.86,10.07,14,L,,03.27.2020,04.03.2020,AB
13,KL,F,6.99,3.69,9.2,13.11,L,wings torn at the end,03.27.2020,04.03.2020,AB
14,KL,M,5.25,2.72,7.87,10.31,L,,03.27.2020,04.03.2020,AB
15,KL,M,6.53,3.08,8.08,11.31,L,,03.27.2020,04.03.2020,AB
16,KL,F,6.33,3.33,8.78,12.13,L,,03.30.2020,04.03.2020,AB
17,KL,M,6.18,3.03,8.04,10.94,L,,03.30.2020,04.03.2020,AB
18,KL,M,6.08,2.97,7.8,10.95,L,,03.30.2020,04.03.2020,AB
19,KL,F,7.54,3.41,8.42,11.99,L,,03.30.2020,04.03.2020,AB
20,KL,F,8.73,3.59,9.71,13.59,L,,03.30.2020,04.03.2020,AB
21,NKL,M,6.03,2.9,7.68,10.67,L,,03.30.2020,04.03.2020,AB
22,NKL,M,5.75,2.94,8.3,11.4,L,,03.30.2020,04.03.2020,AB
23,NKL,M,5.44,2.97,7.66,10.67,L,wings torn at the end,03.30.2020,04.03.2020,AB
24,NKL,M,6.07,3.24,8.4,11.4,L,,03.30.2020,04.03.2020,AB
25,NKL,F,8.03,3.42,9.08,12.77,L,,03.30.2020,04.03.2020,AB
26,NKL,F,7.15,3.01,7.91,11.29,L,,03.30.2020,04.03.2020,AB
27,NKL,F,7.58,3.55,8.72,12.28,L,,03.30.2020,04.03.2020,AB
28,NKL,M,5.5,2.9,7.57,10.73,L,wings torn at the end,03.30.2020,04.03.2020,AB
29,NKL,F,6.24,2.98,7.58,10.98,L,,03.30.2020,04.03.2020,AB
30,NKL,F,7.56,3.26,8.18,11.71,L,,03.30.2020,04.03.2020,AB
31,NKL,F,8.12,3.25,8.28,11.71,L,,03.30.2020,04.03.2020,AB
32,NKL,F,8.17,3.54,9.33,12.79,L,wings torn at the end,03.30.2020,04.03.2020,AB
33,NKL,M,6.05,3.38,8.39,11.52,L,,03.30.2020,04.03.2020,AB
34,NKL,M,6.21,3.25,8.58,11.64,L,,03.30.2020,04.03.2020,AB
35,NKL,M,5.99,2.99,7.55,10.8,L,,03.30.2020,04.03.2020,AB
36,NKL,M,5.95,3.1,8.2,11.48,L,,03.30.2020,04.03.2020,AB
37,NKL,F,7.44,3.07,7.86,11.2,L,,03.30.2020,04.03.2020,AB
38,NKL,M,5.72,2.82,7.46,10.43,L,,03.30.2020,04.03.2020,AB
40,HS,M,5.59,2.84,7.5,10.55,L,,03.30.2020,04.03.2020,AB
41,HS,F,7.47,3.82,9.66,13.31,L,,03.30.2020,04.03.2020,AB
42,HS,F,7.7,3.53,9.43,12.83,L,,03.30.2020,04.03.2020,AB
43,HS,F,6.14,2.95,7.81,11.09,L,,03.30.2020,04.03.2020,AB
44,HS,F,7.74,3.38,9.09,12.86,L,,03.30.2020,04.03.2020,AB
45,HS,M,5.06,2.75,7.68,10.18,L,wings torn at the end,03.30.2020,04.03.2020,AB
46,HS,M,5.14,2.55,7.08,9.77,L,,03.30.2020,04.03.2020,AB
47,HS,F,7.83,3.4,8.98,12.67,L,,03.30.2020,04.03.2020,AB
48,HS,F,6.05,3.37,8.45,11.71,L,wings torn at the end,03.30.2020,04.03.2020,AB
49,HS,M,6.01,3.3,8.34,11.64,L,wings torn at the end,03.30.2020,04.03.2020,AB
50,HS,M,5.39,3.22,7.5,10.79,L,wings torn at the end,03.30.2020,04.03.2020,AB
52,LP,M,5.46,3,8.23,11.57,L,,03.30.2020,04.03.2020,AB
53,LP,F,8.31,3.71,9.77,13.61,L,,03.30.2020,04.03.2020,AB
54,LP,F,6.44,3.38,9.42,12.99,L,,04.01.2020,04.03.2020,AB
56,LP,M,5.85,2.98,8.35,11.53,L,,04.01.2020,04.03.2020,AB
57,LP,M,5.31,2.96,7.77,10.89,L,,04.01.2020,04.03.2020,AB
59,LP,F,6.06,3.2,9.63,12.74,L,,04.01.2020,04.03.2020,AB
62,LW,M,5.41,2.98,8.03,11.18,L,,04.01.2020,04.03.2020,AB
63,LW,F,7.75,3.58,9.34,13.26,L,,04.01.2020,04.03.2020,AB
66,LW,M,5.46,2.9,8.21,11.14,L,,04.01.2020,04.03.2020,AB
69,LW,F,7.44,3.33,8.98,12.36,L,,04.01.2020,04.03.2020,AB
71,LB,M,5.32,2.94,7.39,10.85,L,,04.01.2020,04.03.2020,AB
72,LB,M,5.89,3.32,8.37,11.7,L,,04.01.2020,04.03.2020,AB
74,LB,M,5.11,2.81,7.98,10.98,L,,04.01.2020,04.03.2020,AB
77,LB,M,5.42,2.98,8.49,11.19,L,,04.01.2020,04.03.2020,AB
81,GV,M,6.03,3.36,8.9,12.29,L,,04.01.2020,04.03.2020,AB
83,GV,M,6.33,3.26,8.42,11.89,L,wings torn at the end,04.01.2020,04.03.2020,AB
86,GV,M,5.18,3.05,8.23,11.06,L,,04.01.2020,04.03.2020,AB
87,GV,M,5.65,3.05,8.35,11.34,L,,04.01.2020,04.03.2020,AB
90,GV,M,5.56,3.1,8.23,11.32,L,,04.01.2020,04.03.2020,AB
91,NKL,F,6.99,3.17,7.17,10.93,LS,,04.01.2020,04.03.2020,AB
92,NKL,F,7.85,3.73,9.71,13.2,L,,04.01.2020,04.03.2020,AB
93,NKL,F,7.19,3.32,8.56,12.21,L,,04.01.2020,04.03.2020,AB
95,NKL,M,6.3,3.04,8.07,11.4,L,,04.01.2020,04.03.2020,AB
96,NKL,F,8.18,3.48,8.57,12.28,L,,04.01.2020,04.03.2020,AB
97,NKL,F,8.45,3.95,10,14.16,L,,04.01.2020,04.03.2020,AB
98,NKL,M,6.23,2.97,7.76,10.83,L,,04.01.2020,04.03.2020,AB
99,NKL,M,5.58,2.77,7.22,10.02,L,,04.01.2020,04.03.2020,AB
100,NKL,M,6.41,3.25,8.62,11.65,L,,04.01.2020,04.03.2020,AB
101,PK,F,7.01,3.68,9.23,13.04,L,wings torn at the end,04.02.2020,04.03.2020,AB
102,PK,M,5.69,3.11,8.41,11.6,L,,04.02.2020,04.03.2020,AB
103,PK,F,8.26,3.53,9,12.53,L,,04.02.2020,04.03.2020,AB
104,PK,M,6.83,3.36,8.61,12.01,L,wings torn at the end,04.02.2020,04.03.2020,AB
105,PK,M,6.14,3.21,8.4,11.85,L,wings torn at the end,04.02.2020,04.03.2020,AB
106,PK,F,7.29,3.16,8.15,11.51,L,,04.02.2020,04.03.2020,AB
107,PK,M,5.67,3.13,8.17,11.13,L,,04.02.2020,04.03.2020,AB
108,PK,M,6.06,3.26,8.5,11.93,L,,04.02.2020,04.03.2020,AB
109,PK,F,6.76,3.59,9.29,12.87,L,,04.02.2020,04.03.2020,AB
110,PK,M,5.61,2.7,7.2,9.96,L,,04.02.2020,04.03.2020,AB
111,KL,F,8.45,3.65,9.24,13.04,L,,04.02.2020,04.03.2020,AB
112,KL,F,7.94,3.27,8.52,11.96,L,,04.02.2020,04.03.2020,AB
113,KL,M,5.63,3.01,8.64,11.48,L,,04.02.2020,04.03.2020,AB
114,KL,M,5.98,3.19,8.32,11.62,L,,04.02.2020,04.03.2020,AB
115,KL,F,7.43,3.39,8.93,12.56,LS,,04.02.2020,04.03.2020,AB
116,KL,F,7.57,3.33,8.38,12.11,L,,04.02.2020,04.03.2020,AB
118,KL,M,5.57,3.01,8.53,11.47,L,,04.02.2020,04.03.2020,AB
119,KL,F,6.96,3.18,8.31,11.78,L,,04.02.2020,04.03.2020,AB
120,KL,M,6.27,2.96,8.02,11.09,L,wings torn at the end,04.02.2020,04.03.2020,AB
122,NKL,M,5.67,2.98,7.01,10.08,L,wings torn at the end,04.02.2020,04.03.2020,AB
123,NKL,M,6.13,2.99,7.43,10.56,L,,04.02.2020,04.03.2020,AB
124,NKL,M,6.44,3.09,8.24,11.42,L,,04.02.2020,04.03.2020,AB
125,NKL,M,5.91,3.22,8.43,11.41,L,,04.02.2020,04.03.2020,AB
126,NKL,F,8.97,3.78,10.05,13.61,L,wings torn at the end,04.02.2020,04.03.2020,AB
129,NKL,M,5.94,2.92,7.98,10.85,L,,04.02.2020,04.03.2020,AB
130,NKL,F,9.02,3.71,9.47,13.43,L,,04.02.2020,04.03.2020,AB
131,NKL,M,5.93,2.94,8.16,11.08,L,,04.02.2020,04.03.2020,AB
132,NKL,F,8.29,3.64,9.99,13.81,L,,04.03.2020,04.03.2020,AB
133,NKL,F,8.44,3.7,9.31,13.44,L,,04.03.2020,04.03.2020,AB
135,NKL,F,8.64,3.27,8.9,12.61,L,,04.03.2020,04.03.2020,AB
136,NKL,F,7.58,3.32,8.58,12.21,L,,04.03.2020,04.03.2020,AB
137,NKL,M,6.07,3.15,8.18,11.15,L,,04.03.2020,04.03.2020,AB
138,NKL,M,6.01,3.17,8.18,11.15,L,wings torn at the end,04.03.2020,04.03.2020,AB
139,NKL,M,5.75,2.92,7.78,10.93,L,,04.03.2020,04.03.2020,AB
140,NKL,F,9.08,3.71,9.68,13.81,L,,04.03.2020,04.03.2020,AB
141,NKL,F,6.91,3.02,7.75,11.25,L,,04.03.2020,04.03.2020,AB
142,NKL,F,9.87,4.14,10.47,14.34,L,,04.03.2020,04.03.2020,AB
143,NKL,M,5.78,2.83,7.38,10.46,L,,04.03.2020,04.03.2020,AB
144,NKL,M,6.09,2.9,8.08,10.86,L,,04.03.2020,04.03.2020,AB
145,NKL,M,6.88,3.16,8.84,12.06,L,,04.03.2020,04.03.2020,AB
146,NKL,M,5.42,2.7,7.2,10.15,L,wings torn at the end,04.03.2020,04.03.2020,AB
147,NKL,F,8.04,3.32,8.36,11.72,L,,04.03.2020,04.03.2020,AB
149,NKL,F,7.41,3.79,9.98,13.66,L,,04.03.2020,04.03.2020,AB
152,HS,M,5.17,2.69,6.93,9.64,L,,04.03.2020,04.03.2020,AB
153,HS,M,5.32,2.57,7.47,10.35,L,,04.03.2020,04.03.2020,AB
154,HS,M,5.2,2.62,6.58,9.22,L,wings torn at the end,04.03.2020,04.03.2020,AB
155,HS,F,7.01,3.25,8.17,11.63,L,,04.03.2020,04.03.2020,AB
156,HS,F,6.63,3.15,8.18,11.58,L,,04.03.2020,04.03.2020,AB
151,HS,F,7.09,3.13,8.73,12.08,L,,04.03.2020,04.03.2020,AB
158,HS,M,5.27,2.55,7.03,9.72,L,,04.03.2020,04.03.2020,AB
159,HS,M,5.19,2.75,7.24,9.97,L,,04.03.2020,04.03.2020,AB
160,HS,F,6.98,3.15,8.23,11.59,L,,04.03.2020,04.03.2020,AB
161,LP,F,6.55,3.27,9.44,12.93,L,,04.03.2020,04.03.2020,AB
164,LP,F,6.38,3.46,9.1,12.75,L,,04.03.2020,04.03.2020,AB
167,LP,M,4.77,2.62,6.73,9.41,L,,04.03.2020,04.03.2020,AB
168,LP,F,7.38,3.4,9.21,12.73,L,,04.03.2020,04.03.2020,AB
169,LP,M,5.88,3.05,9,12.01,L,,04.03.2020,04.03.2020,AB
170,LP,M,5.73,3.17,9.12,11.97,L,wings torn at the end,04.03.2020,04.03.2020,AB
176,LW,F,7.5,3.28,8.63,12.08,L,,04.03.2020,04.03.2020,AB
179,LW,F,6.99,3.39,8.98,12.65,L,,04.03.2020,04.03.2020,AB
183,LB,M,5.59,2.99,7.82,11.02,L,,04.03.2020,04.03.2020,AB
