ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,recording_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs,beak,thorax,wing,body,w_morph,morph_notes,tested
114,set001-2-17-2020-A2_114.txt,T1,A-2,A,2,1,0.21,0.0,1.88,0.0,0.0,0.0,2012.03,0.18,2020-02-17,14:31:00,15:06:00,2100.0,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,B,,0.043,N,25.1000151,-80.437522,,5.98,3.19,8.32,11.62,L,,yes
318,set001-2-17-2020-A2_318.txt,T1,A-2,A,2,1,0.31,6101.21,1818.3,0.0,6101.21,0.97,6300.43,0.48,2020-02-17,15:39:00,17:34:00,6900.0,F,Key Largo,Key Largo,JP,C. corindum,Y,C,,0.039,N,25.1284578,-80.4080913,91.0,7.51,3.31,9.0,12.27,L,,yes
37,set001-2-17-2020-A2_37.txt,T1,A-2,A,2,1,0.0,0.0,1.26,0.0,0.0,0.0,1977.11,0.0,2020-02-17,15:07:00,15:38:00,1860.0,F,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.066,N,25.1755702,-80.36780089,53.0,7.44,3.07,7.86,11.2,L,,yes
423,set001-2-17-2020-A2_423.txt,T1,A-2,A,2,1,0.27,574.47,11.31,0.0,541.54,0.29,1970.35,0.37,2020-02-17,14:00:00,14:31:00,1860.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.026,N,25.1820931,-80.36319379999998,,5.83,2.69,7.11,10.03,L,,yes
426,set001-2-17-2020-A2_426.txt,T1,A-2,A,2,1,0.42,8.81,7.54,0.0,7.52,0.0,2224.07,0.51,2020-02-17,13:23:00,13:59:00,2160.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,B,,0.043,N,25.19515,-80.345916,,6.03,3.05,8.01,11.0,L,,yes
427,set001-2-17-2020-A2_427.txt,T1,A-2,A,2,1,0.27,4357.76,1009.05,0.0,4319.5,0.68,6425.55,0.46,2020-02-17,11:37:00,13:02:00,5100.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,C,,0.024,N,25.19515,-80.345916,,5.81,2.78,7.32,10.12,L,,yes
435,set001-2-17-2020-A2_435.txt,T1,A-2,A,2,1,0.4,12023.89,4450.88,112.4,11883.99,0.95,12662.99,0.64,2020-02-17,8:15:00,11:35:00,12000.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.034,N,25.273488500000006,-80.3040957,,5.93,3.03,7.89,10.85,L,,yes
143,set001-2-17-2020-A3_143.txt,T1,A-3,A,3,1,0.36,38.47,14.45,0.0,38.47,0.02,2335.59,0.4,2020-02-17,8:15:00,08:45:00,1800.0,M,North Key Largo,North Key Largo,MM165,C. corindum,N,,,0.032,N,25.2275238,-80.3283788,,5.78,2.83,7.38,10.46,L,,yes
275,set001-2-17-2020-A3_275.txt,T1,A-3,A,3,1,0.29,29884.91,8521.0,0.0,29884.91,0.96,31275.23,0.41,2020-02-17,8:45:00,17:10:00,30300.0,M,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,,0.03,N,27.8967403,-81.58046540000002,,5.31,2.68,7.65,10.44,L,,yes
133,set001-2-17-2020-A4_133.txt,T1,A-4,A,4,1,0.33,157.68,27.02,0.0,50.79,0.08,2046.19,0.47,2020-02-17,14:00:00,14:31:00,1860.0,F,North Key Largo,North Key Largo,DD front,C. corindum,Y,B,,0.08,Y,25.273488500000006,-80.3040957,208.0,8.44,3.7,9.31,13.44,L,,yes
