ID,died?,chamber,set_number,test_date,time_start,time_end,NOTES
9,,A-1,006,2.24.2020,8:34:00,12:19:00,
218,,A-2,006,2.24.2020,8:34:00,9:13:00,
419,,A-3,006,2.24.2020,8:35:00,9:14:00,
262,,A-4,006,2.24.2020,8:36:00,12:19:00,SENSOR: sudden drop to 1/2 voltage (baseline @ 2 V)
250,,B-1,006,2.24.2020,8:40:00,9:14:00,
72,,B-2,006,2.24.2020,8:40:00,9:14:00,
2,,B-3,006,2.24.2020,8:40:00,9:14:00,
403,,B-4,006,2.24.2020,8:40:00,7:36:00,
420,,A-2,006,2.24.2020,9:15:00,9:52:00,
256,,A-3,006,2.24.2020,9:18:00,9:52:00,
158,,B-1,006,2.24.2020,9:19:00,9:52:00,
405,,B-2,006,2.24.2020,9:20:00,9:52:00,
43,,B-3,006,2.24.2020,9:20:00,9:52:00,
7,,A-2,006,2.24.2020,9:54:00,7:36:00,
16,,A-3,006,2.24.2020,9:55:00,10:29:00,
187,,B-1,006,2.24.2020,9:56:00,10:29:00,
390,,B-2,006,2.24.2020,9:57:00,10:29:00,
103,,B-3,006,2.24.2020,9:58:00,10:29:00,
81,,A-3,006,2.24.2020,10:30:00,11:05:00,
146,,B-1,006,2.24.2020,10:31:00,11:05:00,
240,,B-2,006,2.24.2020,10:32:00,11:05:00,
230,,B-3,006,2.24.2020,10:33:00,11:05:00,
206,,A-3,006,2.24.2020,11:07:00,11:42:00,
217,,B-1,006,2.24.2020,11:08:00,11:42:00,
124,,B-2,006,2.24.2020,11:09:00,11:42:00,
233,,B-3,006,2.24.2020,11:10:00,11:42:00,
281,,A-3,006,2.24.2020,11:45:00,12:19:00,
417,,B-1,006,2.24.2020,11:46:00,12:19:00,
205,,B-2,006,2.24.2020,11:47:00,12:19:00,
415,,B-3,006,2.24.2020,11:47:00,12:19:00,
319,,A-1,006,2.24.2020,13:35:00,14:11:00,
110,,A-3,006,2.24.2020,13:36:00,14:11:00,
118,,A-4,006,2.24.2020,13:39:00,14:11:00,
34,,B-1,006,2.24.2020,13:40:00,15:25:00,
259,,B-2,006,2.24.2020,13:40:00,14:11:00,
294,,A-1,006,2.24.2020,14:15:00,14:50:00,
416,,A-3,006,2.24.2020,14:16:00,14:50:00,
47,,B-2,006,2.24.2020,14:17:00,7:36:00,
411,,B-3,006,2.24.2020,14:19:00,14:50:00,
328,,A-1,006,2.24.2020,14:53:00,15:35:00,
8,,A-3,006,2.24.2020,14:54:00,15:25:00,
13,,B-3,006,2.24.2020,14:55:00,15:35:00,
335,,A-1,006,2.24.2020,15:38:00,16:00:00,BUG: paint on antennae-freaked out 
175,Y,,,,,,
280,Y,,,,,,
422,Y,,,,,,BUG: short wing
174,Y,,,,,,
64,Y,,,,,,
198,Y,,,,,,
300,Y,,,,,,
377,Y,,,,,,
127,Y,,,,,,
273,Y,,,,,,
173,Y,,,,,,
279,Y,,,,,,
278,Y,,,,,,
272,Y,,,,,,
185,Y,,,,,,
379,Y,,,,,,
378,Y,,,,,,
220,Y,,,,,,
75,Y,,,,,,
171,Y,,,,,,
276,Y,,,,,,
191,Y,,,,,,
76,Y,,,,,,
157,Y,,,,,,MARKER: false comment
340,Y,,,,,,
60,Y,,,,,,
255,Y,,,,,,
181,Y,,,,,,
402,Y,,,,,,
373,Y,,,,,,
207,Y,,,,,,
68,Y,,,,,,
336,Y,,,,,,
121,Y,,,,,,
61,Y,,,,,,
398,Y,,,,,,
297,Y,,,,,,
39,Y,,,,,,
88,Y,,,,,,
65,Y,,,,,,
440,Y,,,,,,
162,Y,,,,,,
380,Y,,,,,,
436,Y,,,,,,
195,Y,,,,,,
298,Y,,,,,,
430,Y,,,,,,
163,Y,,,,,,
117,Y,,,,,,
89,Y,,,,,,
337,Y,,,,,,
150,Y,,,,,,
94,Y,,,,,,
178,Y,,,,,,
172,Y,,,,,,
85,Y,,,,,,
166,Y,,,,,,
134,Y,,,,,,
341,Y,,,,,,
84,Y,,,,,,
70,Y,,,,,,
348,Y,,,,,,
305,Y,,,,,,
186,Y,,,,,,
180,Y,,,,,,
177,Y,,,,,,
372,Y,,,,,,
299,Y,,,,,,
148,Y,,,,,,
78,Y,,,,,,
51,Y,,,,,,
317,Y,,,,,,BUG: short-wing
128,Y,,,,,,
296,Y,,,,,,
79,Y,,,,,,
80,Y,,,,,,
302,Y,,,,,,
291,Y,,,,,,
243,Y,,,,,,
386,Y,,,,,,
277,Y,,,,,,
55,Y,,,,,,
58,Y,,,,,,
73,Y,,,,,,
251,Y,,,,,,
165,Y,,,,,,
182,Y,,,,,,
241,Y,,,,,,
414,Y,,,,,,
82,Y,,,,,,
67,Y,,,,,,
399,Y,,,,,,BUG: short-wing
158,Y,,,,,,
346,Y,,,,,,
263,Y,,,,,,
163,Y,,,,,,
255,Y,,,,,,
291,Y,,,,,,
23,Y,,,,,,
105,Y,,,,,,
380,Y,,,,,,
427,Y,,,,,,
86,Y,,,,,,
244,Y,,,,,,
443,Y,,,,,,
138,Y,,,,,,
168,Y,,,,,,
405,Y,,,,,,
141,Y,,,,,,
349,Y,,,,,,
148,Y,,,,,,
122,Y,,,,,,
82,Y,,,,,,
34,Y,,,,,,
192,Y,,,,,,
128,Y,,,,,,
442,Y,,,,,,
340,Y,,,,,,
274,Y,,,,,,
257,Y,,,,,,
195,Y,,,,,,
74,Y,,,,,,
408,Y,,,,,,
109,Y,,,,,,
134,Y,,,,,,
32,Y,,,,,,
55,Y,,,,,,
435,Y,,,,,,
107,Y,,,,,,
58,Y,,,,,,
167,Y,,,,,,
103,Y,,,,,,
8,Y,,,,,,
93,Y,,,,,,
299,Y,,,,,,
190,Y,,,,,,
85,Y,,,,,,
16,Y,,,,,,
275,Y,,,,,,
321,Y,,,,,,
386,Y,,,,,,
389,Y,,,,,,
270,Y,,,,,,
298,Y,,,,,,
338,Y,,,,,,
219,Y,,,,,,
302,Y,,,,,,
337,Y,,,,,,
