stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
trough,set008-A1_168.txt,08,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
speed,set008-A1_168.txt,08,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
distance,set008-A1_168.txt,08,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88
trough,set008-A1_212.txt,08,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653,27653
speed,set008-A1_212.txt,08,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
distance,set008-A1_212.txt,08,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87,17371.87
trough,set008-A2_136.txt,08,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587,15587
speed,set008-A2_136.txt,08,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
distance,set008-A2_136.txt,08,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68,9792.68
trough,set008-A2_96.txt,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set008-A2_96.txt,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set008-A2_96.txt,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set008-A3_193.txt,08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
speed,set008-A3_193.txt,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set008-A3_193.txt,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set008-A3_211.txt,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set008-A3_211.txt,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set008-A3_211.txt,08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set008-A3_225.txt,08,1906,1906,1906,1906,1905,1906,1906,1905,1905,1905,1906,1905,1905,1905,1905,1905,1905,1905,1906,1906,1905,1905,1906,1906,1908
speed,set008-A3_225.txt,08,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.49
distance,set008-A3_225.txt,08,1183.09,1183.09,1183.09,1183.09,1182.46,1183.09,1183.09,1182.46,1182.46,1182.46,1183.09,1182.46,1182.46,1182.46,1182.46,1182.46,1182.46,1182.46,1183.09,1183.09,1182.46,1182.46,1183.09,1183.09,1184.35
trough,set008-A3_316.txt,08,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472
speed,set008-A3_316.txt,08,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
distance,set008-A3_316.txt,08,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3,295.3
trough,set008-A3_355.txt,08,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664
speed,set008-A3_355.txt,08,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
distance,set008-A3_355.txt,08,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23,1044.23
trough,set008-A3_388.txt,08,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
speed,set008-A3_388.txt,08,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
distance,set008-A3_388.txt,08,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36
trough,set008-A3_40.txt,08,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587,1587
